researcher_name,researcher_title,researcher_company,core_domain,research_cluster,linkedin_url,google_scholar,total_publications
Daniel Bashir,eng + research @ openai | the gradient,OpenAI,Daniel Bashir's primary research focus is on enhancing the expressivity and capacity of machine learning models while managing trade-offs such as bias and overfitting. His work often employs information-theoretic approaches to understand and optimize learning algorithms.,Machine Learning Theory & Optimization,https://www.linkedin.com/in/daniel-bashir,https://scholar.google.com/scholar?q=Daniel+Bashir,3
Gabriel Goh,Machine Learning Researcher,OpenAI,"Gabriel Goh's primary research focus is on developing machine learning models that can effectively satisfy real-world goals while adhering to specific dataset constraints. His work often involves exploring the intersection of machine learning and practical applications, with an emphasis on ensuring models are both effective and aligned with desired outcomes.",LLM Training & Alignment,https://www.linkedin.com/in/gabriel-goh-8ab441b5,https://scholar.google.com/scholar?q=Gabriel+Goh,1
Botao Hao,Research Scientist at OpenAI,OpenAI,"Botao Hao's primary research focus is on machine learning methodologies, particularly in the areas of contextual bandits, Bayesian methods, and statistical modeling for large-scale data. His work often intersects with reinforcement learning and probabilistic modeling.","""Reinforcement Learning & Probabilistic Modeling""",https://www.linkedin.com/in/botao-hao-23833193,https://scholar.google.com/scholar?q=Botao+Hao,6
Bowen Baker,Research Scientist at OpenAI,OpenAI,"Bowen Baker primarily focuses on the intersection of reinforcement learning and neural architecture search, exploring how reinforcement learning can be leveraged to design and optimize neural network architectures.",Reinforcement Learning & Neural Architecture Search,https://www.linkedin.com/in/bowen-baker-59b48a65,https://scholar.google.com/scholar?q=Bowen+Baker,1
Carlos Florensa,Research Scientist at OpenAI,OpenAI,"Carlos Florensa's primary research focus is on reinforcement learning, particularly in developing algorithms and methodologies that enhance learning efficiency and adaptability in complex environments. His work often involves hierarchical structures and uncertainty management to improve policy optimization and imitation learning.",Reinforcement Learning & Robotics,https://www.linkedin.com/in/carlosflorensa,https://scholar.google.com/scholar?q=Carlos+Florensa,10
Bram Wallace,Sora @ OpenAI,OpenAI,"Bram Wallace's primary research focus is on self-supervised learning and its applications across various domains, including 3D reconstruction and task characterization without traditional labels or features. His work often involves exploring the boundaries of AI's ability to generalize from minimal data.",Multimodal AI & Vision,https://www.linkedin.com/in/bram-wallace,https://scholar.google.com/scholar?q=Bram+Wallace,4
Harshit Sikchi,"RL Researcher @OpenAI (GPT 5, GPT OSS), Ph.D. UT Austin | Previously FAIR@MetaAI, @NVIDIA, @UberATG.",OpenAI,"Harshit Sikchi primarily focuses on reinforcement learning and large language models, with a specialization in developing and optimizing AI systems that integrate planning and decision-making processes.",Reinforcement Learning & LLM Training,https://www.linkedin.com/in/hari-sikchi,https://scholar.google.com/scholar?q=Harshit+Sikchi,6
Aman Madaan,⠀,xAI,"Aman Madaan primarily focuses on the development and evaluation of large language models (LLMs), with a strong emphasis on improving their alignment, efficiency, and applicability in real-world scenarios.",LLM Training & Alignment,https://www.linkedin.com/in/amnmadaan,https://scholar.google.com/scholar?q=Aman+Madaan,1
Zukai Wang,XMoney,xAI,"Zukai Wang's primary research focus lies in the intersection of particle physics and computational modeling, with a specialization in developing algorithms for detecting rare physical phenomena and modeling nuclear decay processes.",Particle Physics & Computational Modeling,https://www.linkedin.com/in/zukai,https://scholar.google.com/scholar?q=Zukai+Wang,2
Andrew Bean,Machine Learning at X/xAI. Previously in Twitter Cortex. @AndrewBean on x.com,xAI,"Andrew Bean primarily focuses on machine learning with a strong emphasis on cooperative dynamics in heterogeneous populations and decision-making processes under uncertainty. His work spans both theoretical and applied aspects of AI, particularly in the context of sequential decision problems and cooperative estimation.",Reinforcement Learning & Cooperative AI,https://www.linkedin.com/in/andrewjbean,https://scholar.google.com/scholar?q=Andrew+Bean,10
